0	24.0	30.2	36.4	27.3	32.8	38.3	30.4	35.8	41.3	33.3	39.8	46.4	34.5	43.6	52.7
2	23.0	29.3	35.7	26.7	32.3	37.9	30.2	35.7	41.2	33.0	39.8	46.5	33.9	43.0	52.1
4	22.0	28.6	35.1	25.9	31.7	37.4	29.9	35.5	41.1	32.7	39.8	46.8	33.2	42.5	51.8
6	21.0	27.7	34.4	25.0	30.9	36.8	29.3	35.1	40.9	32.3	39.5	46.8	32.3	41.9	51.5
8	19.8	26.6	33.5	23.7	29.8	35.8	28.3	34.2	40.2	31.4	38.7	46.1	31.2	41.1	50.9
10	18.4	25.3	32.3	22.2	28.3	34.3	26.9	32.8	38.8	29.9	37.4	44.8	29.7	39.7	49.7
12	16.9	23.9	31.0	20.6	26.6	32.6	25.1	31.1	37.1	28.0	35.5	43.1	27.7	37.8	48.0
14	15.4	22.5	29.6	18.9	24.8	30.8	23.1	29.1	35.0	25.8	33.4	40.9	25.4	35.6	45.9
16	14.0	21.1	28.3	17.1	23.0	28.9	20.9	26.9	32.9	23.4	31.0	38.5	22.8	33.1	43.4
18	12.6	19.8	27.0	15.3	21.2	27.2	18.7	24.7	30.7	20.9	28.4	35.9	20.1	30.4	40.7
20	11.2	18.5	25.8	13.5	19.5	25.5	16.5	22.5	28.5	18.4	25.8	33.1	17.4	27.6	37.8
22	9.8	17.2	24.5	11.8	17.8	23.8	14.3	20.3	26.3	16.0	23.1	30.3	14.6	24.7	34.7
24	8.6	15.9	23.3	10.1	16.1	22.2	12.1	18.1	24.0	13.4	20.4	27.4	11.9	21.7	31.6
26	7.4	14.7	22.1	8.5	14.5	20.5	9.9	15.8	21.8	10.8	17.7	24.5	9.1	18.8	28.4
28	6.3	13.6	21.0	6.9	12.9	18.9	7.6	13.6	19.6	8.1	14.9	21.6	6.5	15.8	25.2
30	5.2	12.6	19.9	5.4	11.4	17.4	5.4	11.4	17.4	5.4	12.1	18.8	3.9	12.9	22.0
32	4.1	11.5	18.9	3.9	10.0	16.0	3.2	9.3	15.4	2.7	9.4	16.1	1.3	10.1	18.8
34	3.1	10.6	18.0	2.5	8.6	14.7	1.0	7.3	13.6	0.1	6.8	13.5	-1.1	7.3	15.8
36	2.1	9.6	17.1	1.0	7.2	13.5	-1.1	5.3	11.8	-2.5	4.3	11.2	-3.5	4.7	12.8
38	1.1	8.6	16.2	-0.4	5.9	12.2	-3.2	3.4	10.0	-4.9	2.0	8.9	-5.7	2.2	10.0
40	0.1	7.7	15.4	-1.9	4.5	10.9	-5.1	1.6	8.3	-7.2	-0.2	6.8	-7.7	-0.1	7.4
42	-0.9	6.8	14.5	-3.3	3.2	9.6	-6.9	-0.1	6.7	-9.2	-2.2	4.8	-9.5	-2.2	5.0
44	-1.9	5.8	13.6	-4.6	1.9	8.4	-8.5	-1.7	5.1	-11.0	-4.0	3.0	-11.0	-4.1	2.9
46	-2.8	4.9	12.6	-5.8	0.7	7.1	-10.0	-3.2	3.7	-12.6	-5.6	1.4	-12.3	-5.6	1.2
48	-3.7	4.0	11.7	-6.9	-0.4	6.0	-11.2	-4.4	2.5	-13.9	-6.9	0.1	-13.3	-6.7	-0.1
50	-4.6	3.1	10.8	-7.8	-1.4	5.1	-12.1	-5.3	1.5	-14.7	-7.8	-0.8	-13.9	-7.3	-0.8
52	-5.2	2.4	10.0	-8.5	-2.1	4.3	-12.6	-5.8	1.0	-15.0	-8.0	-1.1	-13.8	-7.3	-0.8
54	-5.8	1.8	9.4	-8.8	-2.4	4.0	-12.5	-5.7	1.1	-14.5	-7.6	-0.7	-13.0	-6.5	0.0
56	-6.0	1.5	9.0	-8.6	-2.2	4.2	-11.7	-4.9	1.8	-13.3	-6.3	0.6	-11.5	-4.9	1.7
58	-5.9	1.6	9.1	-7.8	-1.3	5.2	-10.1	-3.4	3.4	-11.2	-4.3	2.7	-9.3	-2.6	4.2
60	-5.5	2.2	9.8	-6.1	0.5	7.2	-7.7	-0.9	5.8	-8.3	-1.4	5.6	-6.3	0.6	7.4
62	-4.6	3.3	11.2	-3.6	3.2	10.0	-4.4	2.3	9.0	-4.6	2.3	9.3	-2.6	4.4	11.3
64	-3.4	4.9	13.1	-0.3	6.5	13.4	-0.5	6.1	12.7	-0.4	6.5	13.4	1.6	8.7	15.8
66	-1.8	6.9	15.6	3.3	10.1	16.9	3.6	10.1	16.6	4.1	10.9	17.7	6.1	13.4	20.6
68	0.2	9.3	18.4	7.0	13.7	20.4	7.8	14.1	20.4	8.6	15.3	22.0	10.8	18.1	25.3
70	2.4	11.9	21.3	10.5	17.1	23.7	11.7	17.9	24.0	12.9	19.5	26.1	15.4	22.7	30.0
72	4.9	14.5	24.1	13.8	20.3	26.7	15.4	21.4	27.4	17.0	23.5	29.9	19.6	27.0	34.4
74	7.5	17.1	26.7	16.9	23.2	29.5	18.7	24.6	30.5	20.7	27.0	33.3	23.5	31.0	38.5
76	10.4	19.7	29.1	19.6	25.7	31.9	21.7	27.4	33.2	24.0	30.1	36.3	26.9	34.6	42.2
78	13.3	22.2	31.2	22.0	28.0	34.0	24.3	29.9	35.5	26.8	32.8	38.8	29.8	37.6	45.5
80	16.2	24.6	33.0	24.1	29.9	35.8	26.5	32.0	37.5	29.1	35.0	40.9	32.2	40.2	48.2
