0	-1.0	4.9	10.7	-0.6	4.6	9.8	-0.1	5.6	11.2	1.9	7.5	13.1	1.9	8.8	15.7
2	-0.9	5.2	11.3	0.7	6.1	11.6	2.5	7.9	13.4	4.2	10.1	15.9	3.6	10.4	17.3
4	-0.7	5.9	12.6	1.9	7.9	13.9	5.3	10.9	16.5	7.2	13.6	19.9	5.7	13.1	20.5
6	-0.2	6.9	14.0	3.4	9.9	16.4	8.3	14.1	20.0	10.4	17.4	24.3	8.2	16.4	24.7
8	0.1	7.5	14.9	4.6	11.5	18.4	10.8	16.9	23.0	13.2	20.7	28.1	10.5	19.6	28.6
10	0.3	7.8	15.4	5.2	12.4	19.5	12.3	18.6	24.8	15.2	22.8	30.5	12.2	21.8	31.3
12	0.2	7.9	15.6	5.4	12.7	20.0	13.0	19.3	25.6	16.0	23.7	31.5	12.9	22.7	32.5
14	0.1	7.8	15.6	5.2	12.5	19.9	12.9	19.2	25.5	15.8	23.6	31.4	12.4	22.4	32.4
16	-0.2	7.7	15.5	4.7	12.1	19.5	12.4	18.6	24.8	14.8	22.6	30.4	11.1	21.2	31.4
18	-0.4	7.5	15.5	4.2	11.6	19.0	11.6	17.6	23.7	13.4	21.2	28.9	9.2	19.4	29.7
20	-0.7	7.3	15.4	3.7	11.0	18.4	10.6	16.5	22.4	11.8	19.4	27.0	6.9	17.3	27.6
22	-1.0	7.1	15.2	3.2	10.5	17.8	9.4	15.2	21.0	10.0	17.5	25.0	4.6	15.0	25.3
24	-1.2	6.9	15.0	2.8	9.9	17.1	8.2	13.9	19.6	8.1	15.5	22.8	2.2	12.6	22.9
26	-1.2	6.8	14.8	2.5	9.4	16.4	7.0	12.6	18.2	6.2	13.4	20.6	-0.1	10.2	20.5
28	-1.2	6.7	14.6	2.3	9.0	15.6	5.8	11.3	16.8	4.4	11.4	18.5	-2.2	7.9	18.0
30	-1.1	6.7	14.4	2.1	8.6	15.0	4.6	10.1	15.6	2.6	9.5	16.4	-4.0	5.8	15.6
32	-1.0	6.6	14.3	1.9	8.2	14.5	3.5	9.0	14.6	1.1	7.9	14.6	-5.3	4.1	13.5
34	-1.0	6.6	14.3	1.8	7.9	14.1	2.5	8.0	13.6	-0.2	6.4	13.1	-6.3	2.6	11.6
36	-0.9	6.7	14.3	1.6	7.7	13.7	1.6	7.2	12.9	-1.3	5.3	11.8	-6.9	1.5	10.0
38	-0.8	6.8	14.4	1.5	7.5	13.5	0.9	6.6	12.3	-2.0	4.5	10.9	-7.1	0.8	8.7
40	-0.6	7.0	14.6	1.5	7.5	13.5	0.5	6.2	12.0	-2.2	4.1	10.3	-6.8	0.6	8.0
42	-0.3	7.3	14.9	1.7	7.7	13.6	0.5	6.3	12.0	-2.0	4.2	10.3	-6.2	0.8	7.8
44	0.0	7.6	15.2	2.1	8.0	14.0	1.1	6.8	12.5	-1.2	4.8	10.7	-5.0	1.6	8.3
46	0.4	8.0	15.7	2.9	8.7	14.6	2.2	7.9	13.5	0.2	6.1	11.9	-3.4	3.1	9.6
48	0.9	8.5	16.2	4.0	9.8	15.6	3.8	9.5	15.1	2.2	8.0	13.8	-1.2	5.4	11.9
50	1.5	9.2	16.8	5.4	11.2	17.1	6.0	11.6	17.3	4.7	10.6	16.4	1.7	8.4	15.2
52	2.3	10.1	17.8	7.3	13.2	19.1	8.7	14.5	20.2	8.0	14.0	20.0	5.2	12.4	19.5
54	3.3	11.3	19.2	9.7	15.8	21.9	12.2	18.1	24.0	12.0	18.3	24.5	9.7	17.3	24.9
56	4.6	13.0	21.3	12.8	19.2	25.7	16.4	22.6	28.8	16.9	23.5	30.0	15.1	23.1	31.1
58	6.3	15.3	24.2	16.7	23.6	30.5	21.5	27.9	34.3	22.7	29.5	36.3	21.5	29.8	38.0
60	8.4	18.2	28.0	21.5	28.8	36.1	27.3	33.9	40.5	29.3	36.1	43.0	28.5	36.8	45.1
62	11.0	21.8	32.7	27.2	34.7	42.2	33.6	40.2	46.8	36.2	42.9	49.7	35.7	43.8	51.8
64	14.1	26.0	37.9	33.3	40.8	48.2	39.9	46.3	52.8	42.8	49.2	55.6	42.4	50.0	57.6
66	17.8	30.5	43.3	39.2	46.4	53.5	45.7	51.7	57.7	48.4	54.4	60.5	47.8	55.1	62.4
68	21.7	35.0	48.2	44.2	50.9	57.6	50.0	55.7	61.4	52.3	58.2	64.0	51.6	58.8	66.0
70	25.7	38.9	52.2	47.5	53.9	60.3	52.5	58.2	63.8	54.5	60.3	66.2	53.6	61.0	68.5
72	29.3	42.0	54.8	48.7	55.2	61.8	53.3	59.1	65.0	54.9	61.0	67.2	54.0	61.9	69.8
74	32.0	44.0	56.0	47.9	54.9	62.0	52.4	58.7	65.0	53.8	60.3	66.9	52.9	61.4	69.8
76	33.5	44.7	55.9	45.5	53.1	60.8	50.1	56.9	63.8	51.2	58.3	65.3	50.5	59.6	68.6
78	33.4	44.1	54.9	41.8	50.1	58.4	46.5	53.9	61.3	47.3	55.0	62.7	47.0	56.6	66.2
80	31.3	42.3	53.3	37.2	46.0	54.8	42.0	49.8	57.6	42.4	50.7	59.0	42.5	52.5	62.5
82	27.7	39.2	50.8	31.8	41.0	50.1	36.5	44.7	52.9	36.5	45.4	54.2	37.0	47.4	57.8
84	23.2	35.2	47.1	26.0	35.3	44.7	30.3	38.8	47.3	30.0	39.3	48.6	30.9	41.5	52.1
86	18.3	30.3	42.3	19.8	29.2	38.5	23.7	32.4	41.0	23.2	32.8	42.3	24.4	35.0	45.7
88	13.2	24.9	36.5	13.7	22.8	31.9	16.8	25.5	34.2	16.4	26.0	35.5	17.8	28.3	38.9
90	8.4	19.3	30.2	8.0	16.6	25.1	10.2	18.7	27.2	10.1	19.3	28.6	11.7	21.8	32.0
92	4.4	14.1	23.8	3.3	11.0	18.6	4.4	12.5	20.5	4.9	13.4	22.0	6.5	16.0	25.6
94	1.4	9.7	17.9	0.0	6.7	13.4	0.2	7.6	14.9	1.2	8.9	16.5	2.7	11.4	20.2
96	-0.3	6.6	13.5	-1.7	4.2	10.1	-2.0	4.6	11.2	-0.4	6.3	12.9	0.7	8.6	16.4
98	-1.1	5.0	11.2	-1.9	3.6	9.1	-1.9	4.0	10.0	-0.2	5.8	11.7	0.3	7.5	14.6
100	-1.1	4.8	10.8	-0.9	4.5	9.9	-0.2	5.4	11.0	1.5	7.2	12.9	1.3	8.1	14.9
