0	-7.4	-0.2	7.1	-8.0	-0.7	6.6	-9.9	-2.1	5.7	-10.4	-2.5	5.3	-10.6	-3.6	3.4
2	-6.7	0.5	7.7	-7.2	0.0	7.2	-8.8	-1.2	6.4	-9.4	-1.7	6.1	-9.5	-2.7	4.1
4	-5.8	1.4	8.6	-5.9	1.3	8.5	-6.9	0.5	7.9	-7.5	0.1	7.8	-7.6	-1.1	5.3
6	-5.3	1.9	9.1	-5.0	2.2	9.4	-5.0	2.1	9.3	-5.5	2.0	9.6	-5.3	0.8	7.0
8	-4.8	2.3	9.4	-4.5	2.6	9.8	-4.2	3.0	10.2	-4.0	3.4	10.8	-3.4	2.6	8.6
10	-4.4	2.7	9.8	-4.2	3.0	10.2	-4.0	3.3	10.5	-3.4	4.0	11.4	-2.4	3.7	9.7
12	-4.1	3.0	10.1	-3.7	3.4	10.4	-3.9	3.3	10.5	-3.4	4.1	11.6	-2.0	4.1	10.3
14	-3.9	3.3	10.4	-3.4	3.6	10.6	-4.0	3.2	10.3	-3.7	3.7	11.2	-2.3	4.0	10.2
16	-3.7	3.5	10.7	-3.4	3.6	10.6	-4.1	3.0	10.1	-4.1	3.3	10.7	-2.8	3.4	9.6
18	-3.5	3.7	11.0	-3.3	3.7	10.7	-4.0	3.1	10.2	-4.3	3.1	10.5	-3.2	3.0	9.2
20	-3.4	3.9	11.2	-3.2	3.9	11.0	-3.6	3.5	10.5	-4.2	3.3	10.8	-3.3	2.9	9.1
22	-3.3	4.1	11.6	-3.0	4.2	11.4	-3.1	3.9	11.0	-3.8	3.7	11.3	-3.0	3.2	9.4
24	-3.1	4.4	11.9	-2.7	4.6	11.9	-2.8	4.3	11.5	-3.5	4.2	11.8	-2.5	3.7	9.9
26	-2.8	4.7	12.3	-2.3	5.0	12.3	-2.6	4.7	11.9	-3.3	4.5	12.2	-2.1	4.1	10.3
28	-2.5	5.0	12.6	-2.0	5.4	12.7	-2.4	4.9	12.3	-3.2	4.7	12.5	-1.9	4.4	10.6
30	-2.3	5.3	12.9	-1.7	5.6	13.0	-2.3	5.1	12.5	-3.1	4.8	12.6	-1.7	4.6	10.9
