0	-5.2	-1.0	3.2	-5.2	-2.0	1.3	-7.0	-3.2	0.7	-8.8	-4.7	-0.7	-10.5	-5.3	0.0
2	-5.5	-1.2	3.0	-5.5	-2.3	1.0	-7.4	-3.5	0.4	-9.2	-5.1	-1.0	-10.9	-5.5	-0.1
4	-5.9	-1.7	2.5	-6.0	-2.8	0.5	-7.9	-4.0	-0.1	-9.7	-5.5	-1.3	-11.2	-5.7	-0.3
6	-6.5	-2.3	1.9	-6.7	-3.4	0.0	-8.6	-4.6	-0.7	-10.4	-6.1	-1.8	-11.7	-6.2	-0.7
8	-7.0	-2.9	1.3	-7.5	-4.0	-0.6	-9.3	-5.3	-1.3	-11.3	-7.0	-2.6	-12.3	-6.9	-1.4
10	-7.4	-3.3	0.8	-8.1	-4.6	-1.1	-10.1	-6.1	-2.0	-12.1	-7.7	-3.3	-13.1	-7.7	-2.4
12	-7.6	-3.5	0.6	-8.5	-5.0	-1.5	-10.5	-6.5	-2.5	-12.6	-8.2	-3.9	-13.7	-8.4	-3.1
14	-7.6	-3.6	0.4	-8.7	-5.2	-1.7	-10.7	-6.8	-2.8	-12.8	-8.5	-4.2	-14.0	-8.8	-3.6
16	-7.8	-3.7	0.3	-8.6	-5.1	-1.6	-10.6	-6.7	-2.8	-12.8	-8.5	-4.2	-14.0	-8.9	-3.8
18	-7.7	-3.6	0.4	-8.2	-4.7	-1.2	-10.0	-6.2	-2.4	-12.2	-8.0	-3.9	-13.9	-8.8	-3.6
20	-7.5	-3.4	0.7	-7.6	-4.2	-0.7	-9.2	-5.5	-1.8	-11.4	-7.3	-3.2	-13.3	-8.2	-3.1
22	-7.2	-3.1	1.0	-6.9	-3.4	0.0	-8.2	-4.5	-0.8	-10.3	-6.3	-2.3	-12.4	-7.3	-2.2
24	-6.9	-2.7	1.4	-6.0	-2.6	0.8	-7.2	-3.4	0.3	-9.0	-5.1	-1.2	-11.4	-6.2	-1.1
26	-6.4	-2.3	1.8	-5.2	-1.8	1.6	-6.0	-2.3	1.4	-7.7	-3.8	0.1	-10.0	-4.9	0.3
28	-5.9	-1.8	2.3	-4.5	-1.1	2.3	-5.0	-1.3	2.4	-6.4	-2.5	1.3	-8.5	-3.4	1.6
30	-5.5	-1.4	2.7	-3.8	-0.5	2.9	-4.1	-0.4	3.3	-5.1	-1.3	2.6	-7.0	-2.0	3.0
32	-5.1	-1.0	3.1	-3.3	0.0	3.4	-3.3	0.4	4.0	-4.0	-0.3	3.5	-5.6	-0.7	4.3
34	-4.8	-0.7	3.4	-3.0	0.4	3.7	-2.8	0.9	4.6	-3.1	0.6	4.4	-4.3	0.5	5.4
36	-4.5	-0.4	3.7	-2.7	0.6	3.9	-2.4	1.3	5.0	-2.3	1.4	5.1	-3.3	1.5	6.3
38	-4.3	-0.2	3.9	-2.4	0.8	4.0	-2.1	1.6	5.3	-1.7	2.0	5.7	-2.5	2.3	7.2
40	-4.1	0.0	4.1	-2.3	0.9	4.2	-1.9	1.8	5.5	-1.3	2.4	6.2	-1.8	3.1	7.9
42	-3.9	0.2	4.3	-2.1	1.1	4.3	-1.7	2.0	5.7	-0.9	2.8	6.5	-1.2	3.7	8.7
44	-3.7	0.4	4.5	-2.0	1.2	4.4	-1.5	2.2	5.9	-0.5	3.2	6.9	-0.7	4.3	9.3
46	-3.6	0.6	4.7	-1.8	1.4	4.6	-1.3	2.4	6.1	-0.2	3.5	7.3	-0.3	4.8	9.8
48	-3.3	0.8	4.9	-1.6	1.7	4.9	-1.1	2.7	6.4	0.1	4.0	7.9	0.1	5.2	10.4
50	-3.1	1.0	5.2	-1.3	1.9	5.2	-0.7	3.1	6.8	0.4	4.4	8.3	0.3	5.6	10.8
52	-2.8	1.4	5.5	-0.9	2.3	5.5	-0.3	3.4	7.2	0.7	4.8	8.8	0.5	5.9	11.2
54	-2.3	1.8	6.0	-0.5	2.8	6.0	0.1	3.9	7.8	1.1	5.2	9.3	0.8	6.2	11.6
56	-1.9	2.3	6.5	0.1	3.4	6.7	0.7	4.6	8.5	1.6	5.8	10.1	1.3	6.7	12.1
58	-1.5	2.8	7.0	0.6	4.0	7.3	1.4	5.4	9.3	2.3	6.7	11.0	2.0	7.4	12.8
60	-1.1	3.1	7.3	1.1	4.5	7.9	2.1	6.1	10.0	3.0	7.4	11.9	2.9	8.2	13.5
62	-0.9	3.4	7.6	1.5	4.9	8.3	2.6	6.6	10.6	3.6	8.0	12.4	3.5	8.8	14.1
64	-0.7	3.5	7.7	1.7	5.1	8.5	3.0	6.8	10.7	4.0	8.3	12.6	4.1	9.3	14.5
66	-0.6	3.5	7.7	1.6	5.0	8.4	2.9	6.8	10.6	4.0	8.2	12.4	4.2	9.4	14.6
68	-0.6	3.5	7.6	1.3	4.6	8.0	2.6	6.4	10.1	3.7	7.8	11.9	4.1	9.1	14.2
70	-0.8	3.4	7.5	0.7	4.1	7.5	1.9	5.6	9.3	3.0	7.1	11.1	3.5	8.6	13.6
72	-1.0	3.1	7.2	0.0	3.4	6.8	0.9	4.6	8.3	2.0	6.0	10.0	2.6	7.6	12.6
74	-1.4	2.7	6.9	-0.8	2.6	6.0	-0.1	3.5	7.2	0.9	4.8	8.7	1.4	6.4	11.4
76	-1.7	2.3	6.4	-1.6	1.8	5.2	-1.2	2.5	6.1	-0.4	3.5	7.4	0.1	5.1	10.0
78	-2.2	1.9	5.9	-2.3	1.1	4.4	-2.2	1.4	5.0	-1.6	2.2	6.0	-1.4	3.6	8.6
80	-2.7	1.4	5.5	-2.8	0.5	3.8	-3.1	0.5	4.1	-2.7	1.0	4.8	-2.7	2.2	7.2
82	-3.1	1.0	5.1	-3.3	0.0	3.3	-3.8	-0.2	3.3	-3.8	0.0	3.7	-3.9	0.9	5.8
84	-3.5	0.6	4.7	-3.7	-0.4	2.9	-4.3	-0.8	2.8	-4.6	-0.9	2.8	-5.1	-0.3	4.5
86	-3.7	0.4	4.5	-3.9	-0.6	2.6	-4.7	-1.2	2.4	-5.3	-1.6	2.1	-6.1	-1.3	3.4
88	-4.0	0.1	4.3	-4.1	-0.8	2.4	-5.0	-1.4	2.1	-5.9	-2.2	1.5	-6.9	-2.2	2.6
90	-4.2	-0.1	4.1	-4.3	-1.0	2.3	-5.2	-1.7	1.9	-6.3	-2.6	1.1	-7.7	-2.8	2.1
92	-4.4	-0.3	3.9	-4.4	-1.1	2.2	-5.3	-1.8	1.7	-6.7	-3.0	0.7	-8.5	-3.5	1.5
94	-4.6	-0.4	3.7	-4.5	-1.3	2.0	-5.6	-2.0	1.6	-7.0	-3.3	0.4	-9.2	-4.0	1.2
96	-4.7	-0.6	3.6	-4.8	-1.5	1.8	-5.8	-2.2	1.4	-7.5	-3.7	0.0	-9.9	-4.5	0.8
98	-4.8	-0.7	3.4	-5.0	-1.7	1.6	-6.2	-2.5	1.1	-8.0	-4.1	-0.3	-10.5	-5.0	0.5
100	-5.0	-0.9	3.2	-5.4	-2.0	1.3	-6.6	-2.9	0.8	-8.5	-4.5	-0.6	-11.0	-5.4	0.2
