0	-5.1	-1.4	2.3	-6.7	-2.9	1.0	-8.9	-4.7	-0.5	-11.5	-6.6	-1.8	-14.0	-8.7	-3.5
2	-5.3	-1.5	2.3	-6.8	-2.9	1.0	-8.6	-4.5	-0.3	-11.2	-6.3	-1.5	-13.6	-8.3	-3.0
4	-5.0	-1.2	2.5	-6.5	-2.5	1.4	-8.1	-4.0	0.1	-10.5	-5.7	-0.9	-13.1	-7.6	-2.1
6	-4.8	-1.0	2.7	-6.0	-2.0	2.0	-7.5	-3.4	0.8	-9.8	-4.9	0.0	-12.1	-6.6	-1.1
8	-4.8	-1.0	2.8	-5.6	-1.6	2.4	-6.9	-2.8	1.4	-9.0	-4.2	0.7	-11.0	-5.4	0.2
10	-4.9	-1.1	2.7	-5.5	-1.4	2.6	-6.5	-2.4	1.8	-8.2	-3.4	1.4	-10.0	-4.4	1.2
12	-4.9	-1.2	2.6	-5.5	-1.5	2.6	-6.2	-2.0	2.1	-7.5	-2.7	2.1	-8.9	-3.3	2.4
14	-5.0	-1.2	2.6	-5.4	-1.4	2.7	-5.9	-1.7	2.4	-6.8	-2.0	2.7	-7.8	-2.3	3.3
16	-4.9	-1.2	2.6	-5.1	-1.1	2.8	-5.5	-1.4	2.8	-6.2	-1.5	3.2	-6.9	-1.4	4.2
18	-4.8	-1.0	2.8	-4.7	-0.8	3.1	-5.0	-0.9	3.2	-5.5	-0.9	3.6	-6.2	-0.6	4.9
20	-4.7	-0.9	3.0	-4.2	-0.4	3.4	-4.5	-0.5	3.5	-4.9	-0.4	4.0	-5.4	0.0	5.4
22	-4.5	-0.7	3.1	-3.9	-0.1	3.8	-4.0	-0.1	3.9	-4.4	0.0	4.4	-4.7	0.6	5.9
24	-4.4	-0.6	3.2	-3.5	0.2	4.0	-3.6	0.3	4.2	-3.8	0.4	4.6	-4.0	1.1	6.3
26	-4.2	-0.5	3.2	-3.3	0.4	4.2	-3.2	0.6	4.5	-3.4	0.8	5.0	-3.3	1.7	6.7
