0	-0.02	-0.01	0.00	-0.02	-0.01	0.01	-0.01	0.00	0.01	-0.02	0.00	0.02	-0.01	0.00	0.01
2	-0.09	-0.04	0.01	-0.10	-0.06	-0.02	-0.14	-0.08	-0.02	-0.19	-0.10	-0.01	-0.21	-0.09	0.03
4	-0.13	-0.06	0.01	-0.17	-0.10	-0.04	-0.23	-0.13	-0.03	-0.28	-0.14	0.01	-0.29	-0.10	0.09
6	-0.13	-0.05	0.03	-0.17	-0.09	-0.01	-0.22	-0.11	0.00	-0.28	-0.11	0.06	-0.33	-0.10	0.13
8	-0.11	-0.02	0.06	-0.15	-0.06	0.03	-0.19	-0.06	0.07	-0.24	-0.05	0.14	-0.28	-0.05	0.18
10	-0.09	0.00	0.10	-0.12	-0.02	0.08	-0.14	0.00	0.15	-0.18	0.03	0.24	-0.22	0.01	0.24
12	-0.08	0.04	0.15	-0.11	0.02	0.14	-0.10	0.06	0.23	-0.13	0.11	0.34	-0.16	0.07	0.29
14	-0.06	0.07	0.21	-0.09	0.05	0.20	-0.06	0.12	0.31	-0.08	0.18	0.43	-0.11	0.11	0.33
16	-0.04	0.11	0.26	-0.06	0.10	0.26	-0.02	0.18	0.39	-0.03	0.24	0.51	-0.07	0.14	0.35
18	-0.01	0.16	0.32	-0.03	0.15	0.33	0.02	0.25	0.47	0.02	0.30	0.58	-0.03	0.18	0.39
20	0.02	0.20	0.38	0.00	0.20	0.40	0.08	0.31	0.55	0.08	0.36	0.63	0.01	0.22	0.42
22	0.06	0.25	0.44	0.05	0.26	0.47	0.14	0.38	0.61	0.15	0.40	0.66	0.05	0.26	0.46
24	0.10	0.30	0.51	0.10	0.32	0.54	0.20	0.44	0.67	0.21	0.44	0.68	0.11	0.31	0.51
26	0.15	0.36	0.57	0.15	0.39	0.62	0.27	0.50	0.72	0.26	0.48	0.70	0.17	0.36	0.56
28	0.19	0.42	0.64	0.22	0.46	0.70	0.34	0.56	0.78	0.31	0.52	0.72	0.24	0.43	0.62
30	0.24	0.47	0.71	0.29	0.53	0.78	0.41	0.62	0.84	0.36	0.56	0.76	0.31	0.50	0.69
32	0.30	0.54	0.77	0.36	0.61	0.85	0.48	0.69	0.90	0.42	0.62	0.81	0.39	0.59	0.79
34	0.36	0.60	0.84	0.44	0.69	0.93	0.55	0.76	0.97	0.49	0.69	0.88	0.48	0.70	0.91
36	0.42	0.67	0.92	0.53	0.77	1.01	0.63	0.84	1.04	0.58	0.77	0.97	0.58	0.81	1.04
38	0.50	0.74	0.99	0.62	0.85	1.08	0.71	0.92	1.12	0.68	0.88	1.08	0.68	0.93	1.18
40	0.58	0.82	1.06	0.70	0.93	1.15	0.79	1.00	1.21	0.78	0.99	1.20	0.78	1.05	1.32
