0	-0.04	0.06	0.15	-0.02	0.06	0.14	-0.02	0.11	0.23	0.01	0.19	0.36	0.04	0.24	0.45
2	-0.03	0.06	0.15	-0.01	0.06	0.14	-0.01	0.11	0.22	0.01	0.17	0.33	0.03	0.22	0.42
4	-0.02	0.06	0.15	-0.01	0.07	0.14	0.00	0.11	0.22	0.01	0.16	0.31	0.02	0.21	0.39
6	-0.02	0.07	0.16	-0.01	0.07	0.15	0.00	0.11	0.22	0.02	0.15	0.29	0.02	0.19	0.36
8	-0.02	0.08	0.17	-0.01	0.08	0.17	0.00	0.12	0.24	0.03	0.16	0.29	0.02	0.18	0.34
10	-0.01	0.08	0.18	-0.01	0.09	0.19	0.00	0.13	0.27	0.04	0.17	0.31	0.03	0.18	0.33
12	-0.01	0.09	0.20	-0.01	0.10	0.22	0.00	0.15	0.31	0.05	0.19	0.33	0.04	0.19	0.34
14	0.00	0.11	0.22	-0.01	0.12	0.25	0.02	0.18	0.35	0.07	0.22	0.37	0.06	0.21	0.36
16	0.01	0.13	0.25	0.01	0.15	0.29	0.04	0.21	0.39	0.08	0.24	0.40	0.08	0.24	0.40
18	0.01	0.15	0.28	0.03	0.18	0.33	0.07	0.25	0.42	0.10	0.26	0.42	0.11	0.28	0.45
20	0.02	0.17	0.31	0.05	0.22	0.38	0.11	0.28	0.45	0.11	0.28	0.45	0.14	0.32	0.51
22	0.03	0.19	0.35	0.08	0.25	0.43	0.14	0.31	0.48	0.13	0.31	0.48	0.18	0.38	0.57
24	0.04	0.21	0.37	0.11	0.29	0.47	0.17	0.34	0.50	0.15	0.34	0.52	0.23	0.44	0.65
26	0.06	0.22	0.39	0.14	0.32	0.50	0.19	0.36	0.53	0.18	0.37	0.57	0.28	0.50	0.72
28	0.08	0.24	0.41	0.17	0.35	0.53	0.21	0.39	0.56	0.23	0.43	0.62	0.35	0.57	0.79
30	0.09	0.27	0.44	0.20	0.38	0.55	0.24	0.41	0.59	0.28	0.48	0.69	0.42	0.63	0.84
32	0.10	0.29	0.48	0.23	0.40	0.58	0.27	0.44	0.62	0.34	0.54	0.75	0.48	0.69	0.89
34	0.12	0.31	0.50	0.25	0.43	0.60	0.30	0.47	0.65	0.39	0.60	0.81	0.53	0.73	0.93
36	0.13	0.33	0.52	0.27	0.44	0.61	0.32	0.50	0.68	0.44	0.64	0.84	0.56	0.75	0.95
38	0.15	0.34	0.53	0.28	0.45	0.62	0.34	0.52	0.71	0.46	0.66	0.86	0.54	0.75	0.95
40	0.16	0.35	0.54	0.28	0.45	0.62	0.33	0.52	0.72	0.45	0.65	0.86	0.50	0.71	0.91
42	0.16	0.35	0.54	0.27	0.43	0.60	0.30	0.50	0.70	0.40	0.61	0.82	0.42	0.63	0.85
44	0.16	0.34	0.52	0.23	0.40	0.56	0.26	0.45	0.65	0.33	0.54	0.74	0.33	0.54	0.75
46	0.14	0.31	0.49	0.18	0.34	0.51	0.19	0.39	0.58	0.24	0.44	0.64	0.24	0.44	0.64
48	0.11	0.27	0.44	0.12	0.28	0.43	0.13	0.31	0.49	0.16	0.34	0.51	0.16	0.34	0.52
50	0.08	0.22	0.37	0.07	0.20	0.34	0.07	0.23	0.38	0.09	0.24	0.39	0.10	0.26	0.42
52	0.04	0.17	0.31	0.03	0.14	0.26	0.03	0.16	0.29	0.05	0.17	0.29	0.05	0.20	0.34
54	0.02	0.13	0.25	0.00	0.10	0.19	0.01	0.11	0.21	0.03	0.12	0.21	0.02	0.16	0.29
56	0.00	0.11	0.21	0.00	0.06	0.13	0.00	0.07	0.15	0.02	0.09	0.17	0.01	0.14	0.27
58	-0.01	0.09	0.19	-0.01	0.05	0.10	-0.01	0.06	0.12	0.01	0.08	0.15	-0.01	0.13	0.26
60	-0.02	0.08	0.17	-0.01	0.04	0.09	-0.01	0.05	0.11	0.00	0.08	0.15	-0.02	0.12	0.26
62	-0.02	0.07	0.15	-0.01	0.04	0.08	-0.01	0.05	0.11	0.00	0.08	0.16	-0.03	0.12	0.26
64	-0.03	0.06	0.15	-0.01	0.04	0.08	-0.01	0.05	0.12	-0.01	0.08	0.16	-0.03	0.11	0.26
66	-0.04	0.06	0.15	-0.01	0.04	0.08	-0.02	0.05	0.12	-0.01	0.08	0.16	-0.04	0.11	0.25
68	-0.04	0.06	0.15	-0.01	0.04	0.09	-0.02	0.05	0.12	-0.02	0.07	0.17	-0.04	0.10	0.24
70	-0.04	0.05	0.14	-0.01	0.04	0.09	-0.02	0.05	0.13	-0.02	0.07	0.17	-0.04	0.10	0.23
72	-0.03	0.05	0.13	-0.01	0.04	0.09	-0.02	0.05	0.13	-0.02	0.07	0.16	-0.04	0.09	0.22
74	-0.03	0.05	0.13	-0.01	0.04	0.09	-0.02	0.05	0.12	-0.02	0.06	0.15	-0.03	0.09	0.21
76	-0.03	0.05	0.12	-0.01	0.04	0.08	-0.02	0.05	0.12	-0.02	0.06	0.14	-0.02	0.09	0.21
78	-0.03	0.04	0.11	-0.01	0.04	0.08	-0.02	0.05	0.12	-0.02	0.06	0.14	-0.02	0.10	0.22
80	-0.03	0.04	0.11	-0.01	0.03	0.08	-0.02	0.05	0.12	-0.01	0.06	0.14	-0.02	0.11	0.24
82	-0.03	0.04	0.11	-0.01	0.03	0.08	-0.02	0.05	0.12	-0.01	0.07	0.16	-0.01	0.14	0.28
84	-0.03	0.04	0.10	-0.01	0.03	0.08	-0.02	0.05	0.13	-0.01	0.09	0.18	0.00	0.17	0.33
86	-0.03	0.04	0.10	-0.01	0.03	0.08	-0.02	0.06	0.14	-0.01	0.11	0.23	0.02	0.20	0.38
88	-0.03	0.04	0.10	-0.01	0.03	0.08	-0.03	0.06	0.16	-0.01	0.13	0.27	0.03	0.23	0.43
90	-0.03	0.04	0.11	-0.01	0.04	0.09	-0.03	0.07	0.17	0.00	0.16	0.31	0.04	0.26	0.48
92	-0.03	0.04	0.12	-0.01	0.04	0.10	-0.03	0.08	0.20	0.00	0.18	0.35	0.05	0.28	0.50
94	-0.03	0.05	0.12	-0.02	0.05	0.11	-0.03	0.09	0.21	0.01	0.19	0.38	0.06	0.28	0.51
96	-0.03	0.05	0.14	-0.01	0.05	0.12	-0.02	0.10	0.23	0.01	0.20	0.39	0.06	0.28	0.50
98	-0.04	0.06	0.15	-0.01	0.05	0.12	-0.02	0.10	0.23	0.01	0.19	0.38	0.05	0.26	0.48
100	-0.04	0.06	0.16	-0.01	0.06	0.13	-0.01	0.10	0.22	0.01	0.18	0.35	0.04	0.24	0.45
