0	0.03	0.15	0.26	0.07	0.22	0.37	0.12	0.30	0.47	0.20	0.41	0.62	0.32	0.53	0.75
2	0.04	0.16	0.27	0.07	0.21	0.36	0.11	0.28	0.45	0.18	0.39	0.59	0.29	0.50	0.71
4	0.04	0.15	0.26	0.06	0.20	0.34	0.09	0.26	0.43	0.16	0.36	0.56	0.26	0.47	0.68
6	0.03	0.13	0.23	0.05	0.17	0.30	0.07	0.24	0.41	0.13	0.33	0.53	0.23	0.44	0.65
8	0.03	0.12	0.21	0.04	0.15	0.26	0.06	0.21	0.36	0.11	0.30	0.49	0.20	0.41	0.63
10	0.02	0.11	0.20	0.03	0.12	0.22	0.04	0.18	0.32	0.09	0.27	0.44	0.17	0.39	0.60
12	0.01	0.10	0.18	0.02	0.11	0.20	0.03	0.16	0.28	0.07	0.24	0.41	0.15	0.37	0.58
14	0.01	0.09	0.18	0.02	0.10	0.18	0.02	0.14	0.27	0.06	0.23	0.41	0.14	0.36	0.58
16	0.00	0.09	0.17	0.01	0.09	0.17	0.01	0.14	0.27	0.05	0.24	0.43	0.13	0.36	0.59
18	0.00	0.08	0.16	0.01	0.09	0.17	0.01	0.14	0.28	0.04	0.25	0.46	0.14	0.37	0.61
20	0.00	0.08	0.16	0.01	0.09	0.17	0.01	0.15	0.28	0.04	0.26	0.48	0.15	0.39	0.63
22	0.00	0.08	0.16	0.00	0.09	0.18	0.01	0.15	0.29	0.04	0.27	0.49	0.16	0.41	0.65
24	-0.01	0.08	0.17	0.00	0.09	0.18	0.01	0.15	0.29	0.04	0.27	0.50	0.17	0.42	0.67
26	-0.01	0.08	0.17	-0.01	0.09	0.19	0.01	0.15	0.29	0.03	0.27	0.50	0.17	0.42	0.67
28	-0.01	0.08	0.17	-0.01	0.09	0.19	0.00	0.14	0.29	0.03	0.26	0.49	0.16	0.41	0.66
30	-0.01	0.07	0.16	-0.01	0.09	0.19	0.00	0.14	0.28	0.02	0.25	0.47	0.14	0.39	0.64
32	-0.01	0.07	0.16	-0.01	0.09	0.18	-0.01	0.14	0.28	0.02	0.24	0.46	0.12	0.36	0.60
34	-0.01	0.07	0.16	-0.01	0.09	0.18	-0.01	0.13	0.28	0.01	0.23	0.44	0.10	0.33	0.57
36	-0.02	0.08	0.17	-0.02	0.09	0.19	-0.02	0.13	0.28	0.01	0.22	0.42	0.07	0.30	0.53
38	-0.03	0.08	0.18	-0.02	0.09	0.20	-0.02	0.13	0.28	0.01	0.20	0.40	0.05	0.27	0.48
40	-0.03	0.08	0.19	-0.03	0.09	0.21	-0.02	0.13	0.27	0.01	0.19	0.38	0.03	0.23	0.44
42	-0.02	0.08	0.19	-0.03	0.10	0.22	-0.02	0.12	0.27	0.00	0.18	0.36	0.02	0.20	0.38
44	-0.02	0.08	0.19	-0.03	0.10	0.23	-0.02	0.12	0.25	-0.01	0.16	0.33	0.01	0.17	0.33
46	-0.02	0.08	0.19	-0.03	0.10	0.22	-0.03	0.11	0.24	-0.02	0.14	0.29	0.01	0.15	0.29
48	-0.03	0.08	0.19	-0.03	0.10	0.22	-0.03	0.10	0.22	-0.02	0.12	0.26	0.00	0.13	0.25
50	-0.03	0.08	0.20	-0.03	0.09	0.22	-0.03	0.09	0.20	-0.02	0.10	0.22	0.00	0.12	0.23
52	-0.03	0.09	0.20	-0.04	0.09	0.22	-0.03	0.08	0.18	-0.01	0.09	0.18	0.00	0.11	0.22
54	-0.03	0.09	0.21	-0.04	0.09	0.21	-0.04	0.07	0.18	0.00	0.08	0.16	0.00	0.11	0.21
56	-0.04	0.09	0.23	-0.03	0.08	0.19	-0.04	0.06	0.17	0.00	0.07	0.14	0.00	0.11	0.21
58	-0.05	0.09	0.23	-0.03	0.07	0.16	-0.04	0.06	0.16	0.00	0.07	0.14	0.00	0.10	0.21
60	-0.04	0.09	0.22	-0.02	0.06	0.13	-0.03	0.06	0.15	0.00	0.07	0.14	0.00	0.10	0.20
62	-0.04	0.08	0.19	-0.01	0.05	0.11	-0.03	0.05	0.14	-0.01	0.07	0.15	0.00	0.10	0.19
64	-0.04	0.07	0.18	-0.02	0.05	0.12	-0.03	0.05	0.14	-0.01	0.07	0.15	0.00	0.09	0.19
66	-0.04	0.07	0.18	-0.02	0.06	0.14	-0.04	0.06	0.15	-0.01	0.07	0.15	0.00	0.09	0.18
68	-0.04	0.07	0.18	-0.02	0.07	0.15	-0.04	0.06	0.15	-0.02	0.06	0.14	0.00	0.09	0.17
70	-0.03	0.07	0.17	-0.02	0.07	0.17	-0.04	0.06	0.16	-0.02	0.06	0.14	0.00	0.08	0.17
72	-0.03	0.07	0.18	-0.03	0.07	0.17	-0.03	0.06	0.16	-0.02	0.06	0.15	0.00	0.09	0.18
74	-0.03	0.07	0.17	-0.03	0.07	0.17	-0.03	0.06	0.15	-0.02	0.07	0.16	0.01	0.10	0.20
76	-0.02	0.07	0.15	-0.02	0.06	0.15	-0.02	0.06	0.15	-0.01	0.08	0.18	0.03	0.13	0.24
78	-0.02	0.06	0.14	-0.02	0.06	0.14	-0.02	0.07	0.16	0.00	0.11	0.22	0.05	0.18	0.30
80	-0.03	0.06	0.14	-0.02	0.06	0.14	-0.01	0.09	0.19	0.02	0.14	0.27	0.09	0.24	0.38
82	-0.02	0.05	0.13	-0.01	0.07	0.15	0.01	0.12	0.23	0.05	0.19	0.33	0.15	0.31	0.47
84	-0.02	0.05	0.13	0.00	0.09	0.17	0.04	0.16	0.28	0.08	0.25	0.41	0.22	0.39	0.56
86	-0.02	0.06	0.14	0.01	0.11	0.20	0.06	0.20	0.33	0.13	0.31	0.49	0.29	0.47	0.65
88	-0.02	0.07	0.15	0.02	0.13	0.24	0.09	0.24	0.39	0.17	0.36	0.56	0.34	0.54	0.73
90	-0.01	0.08	0.17	0.03	0.15	0.27	0.11	0.28	0.45	0.21	0.41	0.62	0.38	0.58	0.79
92	-0.01	0.09	0.19	0.04	0.17	0.31	0.12	0.31	0.49	0.23	0.45	0.66	0.40	0.61	0.82
94	0.00	0.10	0.21	0.05	0.19	0.33	0.13	0.32	0.51	0.24	0.46	0.67	0.40	0.61	0.82
96	0.01	0.12	0.23	0.06	0.21	0.35	0.13	0.32	0.50	0.23	0.44	0.65	0.38	0.59	0.80
98	0.02	0.14	0.25	0.06	0.22	0.37	0.12	0.30	0.48	0.21	0.42	0.62	0.34	0.55	0.76
100	0.03	0.15	0.27	0.06	0.22	0.37	0.11	0.28	0.46	0.19	0.39	0.59	0.30	0.51	0.73
