0	0.04	0.17	0.31	0.09	0.26	0.42	0.15	0.34	0.52	0.23	0.44	0.65	0.32	0.55	0.78
2	0.05	0.20	0.34	0.09	0.26	0.44	0.14	0.32	0.50	0.19	0.40	0.61	0.27	0.49	0.71
4	0.05	0.21	0.36	0.08	0.26	0.45	0.12	0.30	0.49	0.16	0.37	0.58	0.23	0.44	0.65
6	0.05	0.21	0.37	0.07	0.25	0.44	0.11	0.29	0.48	0.14	0.34	0.55	0.20	0.40	0.61
8	0.05	0.21	0.36	0.06	0.23	0.41	0.09	0.27	0.46	0.11	0.32	0.53	0.17	0.38	0.58
10	0.05	0.19	0.34	0.04	0.21	0.37	0.07	0.25	0.43	0.09	0.30	0.51	0.14	0.36	0.57
12	0.04	0.18	0.32	0.03	0.18	0.32	0.05	0.22	0.39	0.08	0.29	0.49	0.12	0.34	0.56
14	0.03	0.17	0.31	0.02	0.16	0.29	0.04	0.20	0.37	0.07	0.27	0.47	0.11	0.33	0.56
16	0.02	0.16	0.30	0.01	0.14	0.27	0.02	0.19	0.35	0.07	0.26	0.45	0.11	0.33	0.55
18	0.02	0.15	0.29	0.01	0.14	0.26	0.02	0.18	0.34	0.06	0.25	0.43	0.10	0.33	0.55
20	0.02	0.15	0.28	0.00	0.13	0.26	0.02	0.17	0.33	0.05	0.23	0.41	0.10	0.33	0.55
22	0.01	0.15	0.28	0.00	0.13	0.26	0.01	0.17	0.32	0.05	0.22	0.40	0.10	0.33	0.56
24	0.01	0.14	0.27	0.00	0.13	0.25	0.01	0.16	0.31	0.04	0.21	0.38	0.09	0.33	0.57
26	0.00	0.13	0.26	0.00	0.12	0.24	0.01	0.15	0.30	0.03	0.20	0.37	0.09	0.33	0.57
28	0.00	0.12	0.24	0.00	0.11	0.22	0.01	0.15	0.29	0.03	0.20	0.37	0.09	0.33	0.56
30	0.00	0.12	0.24	0.00	0.10	0.21	0.00	0.14	0.28	0.02	0.19	0.37	0.09	0.32	0.55
32	0.00	0.11	0.23	-0.01	0.10	0.21	-0.01	0.13	0.28	0.01	0.19	0.37	0.08	0.30	0.52
34	-0.01	0.11	0.23	-0.01	0.10	0.21	-0.01	0.13	0.27	0.00	0.19	0.37	0.07	0.29	0.50
36	-0.01	0.11	0.24	-0.01	0.10	0.21	-0.02	0.13	0.28	0.00	0.19	0.37	0.06	0.27	0.48
38	-0.02	0.11	0.24	-0.02	0.10	0.21	-0.03	0.13	0.28	0.00	0.18	0.37	0.04	0.25	0.45
40	-0.02	0.11	0.25	-0.02	0.10	0.22	-0.03	0.12	0.28	-0.01	0.18	0.36	0.03	0.22	0.42
42	-0.02	0.11	0.24	-0.02	0.09	0.21	-0.04	0.12	0.28	-0.01	0.16	0.34	0.03	0.20	0.37
44	-0.02	0.11	0.24	-0.02	0.09	0.21	-0.04	0.12	0.27	-0.02	0.15	0.32	0.02	0.18	0.33
46	-0.02	0.11	0.24	-0.02	0.09	0.20	-0.04	0.11	0.26	-0.02	0.13	0.29	0.02	0.16	0.29
48	-0.02	0.10	0.22	-0.02	0.09	0.20	-0.04	0.10	0.24	-0.02	0.12	0.26	0.01	0.14	0.28
50	-0.02	0.09	0.21	-0.02	0.08	0.19	-0.03	0.10	0.23	-0.01	0.11	0.24	0.01	0.14	0.27
52	-0.02	0.09	0.20	-0.02	0.08	0.19	-0.03	0.10	0.22	-0.01	0.11	0.23	0.00	0.14	0.27
54	-0.02	0.09	0.20	-0.02	0.09	0.19	-0.02	0.09	0.21	-0.01	0.11	0.22	0.00	0.14	0.27
56	-0.03	0.09	0.20	-0.02	0.09	0.19	-0.03	0.09	0.21	0.00	0.10	0.21	0.00	0.13	0.26
58	-0.03	0.09	0.21	-0.02	0.08	0.19	-0.03	0.09	0.20	0.00	0.10	0.19	0.00	0.13	0.25
60	-0.03	0.09	0.21	-0.01	0.08	0.18	-0.02	0.08	0.19	0.00	0.09	0.18	0.00	0.12	0.23
62	-0.03	0.09	0.21	-0.01	0.08	0.18	-0.02	0.08	0.17	-0.01	0.08	0.17	0.00	0.11	0.21
64	-0.03	0.09	0.22	-0.01	0.08	0.17	-0.02	0.07	0.17	0.00	0.08	0.15	0.00	0.10	0.20
66	-0.03	0.09	0.21	-0.01	0.08	0.17	-0.02	0.07	0.16	0.00	0.07	0.14	-0.01	0.09	0.19
68	-0.03	0.09	0.21	-0.02	0.08	0.17	-0.03	0.07	0.16	-0.01	0.07	0.15	-0.02	0.09	0.19
