0	-0.01	0.00	0.02	-0.02	0.00	0.02	-0.03	0.00	0.02	-0.04	-0.01	0.03	-0.06	0.00	0.06
2	-0.06	-0.02	0.01	-0.08	-0.03	0.02	-0.12	-0.05	0.03	-0.15	-0.04	0.06	-0.13	-0.01	0.11
4	-0.04	0.00	0.03	-0.06	-0.01	0.03	-0.10	-0.04	0.03	-0.15	-0.06	0.04	-0.19	-0.05	0.09
6	-0.02	0.03	0.09	-0.03	0.04	0.10	-0.05	0.04	0.12	-0.08	0.04	0.15	-0.13	0.01	0.16
8	0.03	0.09	0.15	0.04	0.12	0.20	0.04	0.14	0.25	0.00	0.15	0.31	-0.06	0.11	0.29
10	0.05	0.12	0.19	0.09	0.18	0.26	0.11	0.23	0.34	0.09	0.25	0.41	0.03	0.21	0.39
12	0.08	0.15	0.22	0.12	0.21	0.30	0.14	0.27	0.39	0.14	0.30	0.47	0.12	0.29	0.46
14	0.11	0.19	0.27	0.14	0.23	0.33	0.15	0.28	0.41	0.16	0.32	0.48	0.17	0.33	0.50
16	0.14	0.24	0.33	0.16	0.26	0.37	0.16	0.28	0.41	0.16	0.31	0.45	0.19	0.34	0.49
18	0.17	0.27	0.37	0.17	0.28	0.39	0.15	0.27	0.39	0.15	0.28	0.41	0.19	0.32	0.45
20	0.18	0.29	0.39	0.16	0.27	0.38	0.14	0.25	0.37	0.14	0.25	0.37	0.18	0.30	0.41
22	0.19	0.29	0.39	0.14	0.25	0.36	0.12	0.22	0.33	0.12	0.22	0.32	0.15	0.26	0.37
24	0.18	0.28	0.39	0.13	0.23	0.34	0.10	0.19	0.29	0.09	0.19	0.28	0.11	0.22	0.33
26	0.17	0.27	0.37	0.12	0.22	0.32	0.08	0.17	0.26	0.07	0.15	0.24	0.08	0.19	0.29
28	0.17	0.26	0.36	0.11	0.21	0.31	0.07	0.16	0.24	0.05	0.13	0.21	0.06	0.16	0.26
30	0.16	0.26	0.35	0.10	0.20	0.30	0.06	0.14	0.23	0.04	0.12	0.20	0.05	0.15	0.24
32	0.15	0.25	0.34	0.09	0.19	0.29	0.05	0.14	0.22	0.03	0.11	0.20	0.05	0.14	0.24
34	0.15	0.24	0.34	0.09	0.19	0.28	0.05	0.14	0.22	0.03	0.12	0.20	0.05	0.15	0.24
36	0.14	0.24	0.33	0.09	0.18	0.28	0.05	0.14	0.23	0.03	0.12	0.22	0.05	0.15	0.24
38	0.14	0.23	0.33	0.09	0.19	0.29	0.05	0.15	0.25	0.03	0.13	0.23	0.05	0.15	0.25
40	0.13	0.23	0.32	0.09	0.19	0.29	0.06	0.16	0.27	0.03	0.14	0.26	0.05	0.15	0.26
42	0.12	0.22	0.32	0.09	0.19	0.30	0.07	0.18	0.29	0.04	0.16	0.28	0.04	0.16	0.28
44	0.12	0.22	0.32	0.09	0.20	0.31	0.08	0.19	0.31	0.05	0.18	0.30	0.03	0.16	0.29
46	0.11	0.21	0.31	0.09	0.20	0.31	0.09	0.21	0.32	0.06	0.19	0.32	0.02	0.16	0.30
48	0.10	0.20	0.31	0.09	0.20	0.31	0.10	0.22	0.33	0.08	0.20	0.33	0.01	0.15	0.29
50	0.09	0.19	0.29	0.08	0.19	0.30	0.10	0.21	0.32	0.08	0.20	0.32	-0.01	0.13	0.26
52	0.07	0.17	0.27	0.07	0.17	0.28	0.09	0.19	0.29	0.06	0.17	0.28	-0.04	0.09	0.21
54	0.03	0.13	0.23	0.04	0.14	0.23	0.04	0.14	0.24	0.00	0.10	0.20	-0.08	0.03	0.13
56	0.01	0.10	0.19	0.01	0.09	0.17	-0.02	0.06	0.15	-0.06	0.02	0.10	-0.10	-0.02	0.06
58	-0.01	0.07	0.15	-0.03	0.04	0.10	-0.06	0.00	0.06	-0.08	-0.03	0.02	-0.10	-0.04	0.03
60	-0.03	0.04	0.11	-0.05	0.00	0.05	-0.07	-0.03	0.01	-0.08	-0.04	0.00	-0.09	-0.04	0.01
62	-0.03	0.03	0.08	-0.05	-0.01	0.02	-0.07	-0.03	0.00	-0.07	-0.04	0.00	-0.08	-0.03	0.01
64	-0.03	0.01	0.05	-0.04	-0.02	0.01	-0.06	-0.03	0.00	-0.06	-0.03	0.00	-0.07	-0.03	0.02
