0	0.08	0.22	0.37	0.20	0.35	0.49	0.31	0.48	0.66	0.35	0.56	0.77	0.33	0.56	0.79
2	0.09	0.25	0.41	0.23	0.39	0.55	0.32	0.51	0.70	0.36	0.58	0.80	0.34	0.58	0.82
4	0.09	0.26	0.43	0.23	0.40	0.56	0.31	0.50	0.70	0.34	0.56	0.79	0.33	0.57	0.82
6	0.07	0.24	0.42	0.18	0.34	0.51	0.25	0.44	0.62	0.29	0.51	0.72	0.30	0.54	0.78
8	0.04	0.23	0.41	0.11	0.28	0.44	0.18	0.34	0.50	0.23	0.42	0.61	0.25	0.48	0.71
10	0.02	0.21	0.40	0.06	0.23	0.39	0.11	0.25	0.40	0.15	0.32	0.49	0.20	0.41	0.62
12	0.01	0.20	0.38	0.03	0.19	0.36	0.05	0.19	0.34	0.09	0.24	0.40	0.14	0.34	0.54
14	0.01	0.19	0.37	0.02	0.17	0.33	0.02	0.17	0.31	0.04	0.19	0.35	0.10	0.28	0.46
16	0.01	0.18	0.35	0.01	0.16	0.31	0.01	0.15	0.30	0.02	0.17	0.32	0.08	0.24	0.41
18	0.01	0.16	0.32	0.00	0.15	0.29	0.00	0.14	0.29	0.01	0.16	0.31	0.07	0.22	0.37
20	0.00	0.16	0.31	0.00	0.14	0.27	0.00	0.14	0.28	0.01	0.16	0.30	0.06	0.20	0.34
22	-0.01	0.15	0.30	0.00	0.13	0.26	0.00	0.13	0.26	0.01	0.15	0.30	0.06	0.20	0.33
24	-0.01	0.14	0.29	-0.01	0.12	0.25	0.01	0.13	0.25	0.01	0.15	0.29	0.06	0.19	0.33
26	-0.01	0.13	0.27	-0.01	0.12	0.25	0.01	0.12	0.23	0.01	0.15	0.28	0.06	0.20	0.34
28	-0.01	0.12	0.26	-0.01	0.11	0.24	0.01	0.11	0.22	0.02	0.15	0.28	0.06	0.21	0.35
30	-0.01	0.11	0.24	-0.01	0.11	0.22	0.01	0.11	0.21	0.02	0.15	0.27	0.07	0.21	0.36
32	-0.01	0.11	0.23	-0.01	0.10	0.21	0.01	0.11	0.21	0.03	0.15	0.27	0.08	0.23	0.37
34	-0.01	0.10	0.22	0.00	0.10	0.20	0.02	0.11	0.20	0.04	0.16	0.27	0.09	0.24	0.38
36	-0.01	0.10	0.22	0.00	0.09	0.18	0.02	0.11	0.20	0.05	0.17	0.28	0.10	0.24	0.39
38	-0.01	0.10	0.21	0.01	0.09	0.17	0.03	0.12	0.21	0.06	0.18	0.29	0.10	0.25	0.39
40	-0.02	0.10	0.21	0.01	0.09	0.17	0.04	0.12	0.21	0.07	0.18	0.30	0.10	0.24	0.38
42	-0.02	0.09	0.20	0.02	0.09	0.16	0.04	0.13	0.21	0.07	0.18	0.29	0.10	0.23	0.36
44	-0.02	0.09	0.20	0.02	0.09	0.15	0.04	0.13	0.21	0.07	0.17	0.27	0.10	0.22	0.33
46	-0.01	0.09	0.19	0.02	0.08	0.15	0.03	0.12	0.21	0.06	0.15	0.25	0.09	0.21	0.32
48	-0.01	0.08	0.17	0.01	0.08	0.14	0.03	0.11	0.20	0.05	0.14	0.22	0.08	0.21	0.35
50	-0.01	0.08	0.17	0.01	0.07	0.14	0.01	0.10	0.18	0.04	0.13	0.22	0.08	0.25	0.41
52	-0.02	0.07	0.17	0.00	0.07	0.13	0.00	0.09	0.18	0.04	0.15	0.26	0.11	0.31	0.50
54	-0.02	0.07	0.17	-0.01	0.06	0.13	0.00	0.10	0.20	0.05	0.19	0.33	0.18	0.39	0.61
56	-0.03	0.07	0.17	-0.01	0.07	0.16	0.01	0.13	0.25	0.10	0.27	0.44	0.26	0.49	0.72
58	-0.03	0.08	0.19	-0.01	0.10	0.20	0.04	0.18	0.32	0.17	0.36	0.55	0.35	0.58	0.81
60	-0.02	0.10	0.22	0.02	0.14	0.26	0.09	0.25	0.41	0.25	0.45	0.64	0.42	0.65	0.87
62	-0.01	0.12	0.26	0.05	0.19	0.32	0.15	0.31	0.48	0.30	0.50	0.71	0.45	0.67	0.90
64	0.00	0.15	0.31	0.10	0.24	0.38	0.19	0.36	0.53	0.33	0.53	0.74	0.45	0.67	0.89
66	0.02	0.19	0.35	0.14	0.28	0.42	0.23	0.39	0.56	0.33	0.53	0.74	0.42	0.64	0.86
68	0.04	0.21	0.38	0.18	0.32	0.45	0.24	0.41	0.58	0.32	0.52	0.72	0.38	0.60	0.81
70	0.07	0.23	0.39	0.20	0.34	0.48	0.25	0.42	0.58	0.30	0.49	0.68	0.34	0.54	0.75
72	0.09	0.25	0.40	0.20	0.34	0.47	0.24	0.40	0.57	0.28	0.46	0.63	0.29	0.48	0.68
74	0.11	0.25	0.40	0.18	0.31	0.45	0.22	0.37	0.52	0.25	0.41	0.57	0.24	0.42	0.61
76	0.11	0.25	0.39	0.14	0.27	0.40	0.18	0.32	0.47	0.21	0.35	0.50	0.19	0.36	0.53
78	0.10	0.24	0.37	0.11	0.23	0.35	0.15	0.28	0.40	0.16	0.30	0.44	0.15	0.31	0.47
80	0.08	0.21	0.35	0.08	0.18	0.29	0.12	0.23	0.34	0.13	0.26	0.39	0.13	0.28	0.43
82	0.06	0.19	0.31	0.06	0.15	0.25	0.09	0.20	0.30	0.11	0.23	0.35	0.12	0.27	0.41
84	0.05	0.16	0.28	0.05	0.14	0.23	0.08	0.18	0.28	0.11	0.23	0.35	0.13	0.27	0.42
86	0.04	0.15	0.27	0.05	0.14	0.22	0.09	0.19	0.29	0.12	0.24	0.36	0.15	0.30	0.45
88	0.03	0.15	0.26	0.06	0.15	0.24	0.10	0.21	0.32	0.14	0.27	0.40	0.18	0.33	0.49
90	0.03	0.15	0.28	0.07	0.17	0.26	0.12	0.24	0.36	0.17	0.31	0.46	0.21	0.38	0.55
92	0.04	0.16	0.28	0.09	0.20	0.30	0.15	0.28	0.41	0.20	0.36	0.52	0.25	0.43	0.60
94	0.05	0.17	0.30	0.11	0.23	0.35	0.19	0.33	0.47	0.25	0.43	0.60	0.29	0.48	0.66
96	0.06	0.19	0.31	0.14	0.27	0.40	0.24	0.39	0.55	0.30	0.49	0.67	0.33	0.52	0.72
98	0.07	0.21	0.34	0.17	0.32	0.46	0.28	0.45	0.61	0.33	0.53	0.74	0.34	0.55	0.76
100	0.08	0.23	0.38	0.21	0.36	0.52	0.30	0.48	0.66	0.34	0.56	0.77	0.34	0.57	0.79
