0	-0.03	-0.01	0.01	-0.02	-0.01	0.01	-0.02	0.00	0.01	-0.03	0.00	0.03	-0.03	0.00	0.03
2	-0.16	-0.08	0.00	-0.21	-0.11	-0.02	-0.31	-0.17	-0.03	-0.47	-0.24	-0.01	-0.61	-0.30	0.00
4	-0.16	-0.07	0.03	-0.24	-0.12	0.01	-0.43	-0.18	0.06	-0.69	-0.27	0.15	-0.90	-0.37	0.17
6	-0.09	-0.01	0.06	-0.12	-0.01	0.10	-0.30	-0.03	0.24	-0.67	-0.12	0.43	-1.05	-0.25	0.55
8	-0.09	-0.01	0.08	-0.10	0.02	0.14	-0.26	0.01	0.29	-0.69	-0.08	0.53	-0.96	-0.15	0.66
10	-0.10	-0.02	0.07	-0.13	0.00	0.14	-0.34	-0.05	0.24	-0.76	-0.16	0.45	-0.90	-0.16	0.58
12	-0.12	-0.03	0.06	-0.17	-0.03	0.12	-0.39	-0.10	0.18	-0.78	-0.24	0.30	-0.85	-0.21	0.44
14	-0.15	-0.05	0.05	-0.21	-0.06	0.09	-0.40	-0.15	0.10	-0.74	-0.28	0.17	-0.73	-0.22	0.28
16	-0.18	-0.07	0.03	-0.23	-0.09	0.06	-0.41	-0.18	0.04	-0.65	-0.29	0.07	-0.62	-0.23	0.17
18	-0.20	-0.09	0.02	-0.25	-0.11	0.03	-0.41	-0.20	0.01	-0.56	-0.27	0.02	-0.54	-0.22	0.09
20	-0.21	-0.10	0.00	-0.27	-0.13	0.01	-0.42	-0.21	0.00	-0.50	-0.23	0.04	-0.48	-0.20	0.07
22	-0.22	-0.12	-0.02	-0.31	-0.16	-0.01	-0.43	-0.20	0.02	-0.47	-0.18	0.11	-0.45	-0.17	0.10
24	-0.25	-0.14	-0.03	-0.34	-0.19	-0.03	-0.45	-0.21	0.04	-0.45	-0.13	0.19	-0.43	-0.13	0.17
26	-0.28	-0.16	-0.05	-0.39	-0.22	-0.06	-0.47	-0.22	0.03	-0.44	-0.10	0.24	-0.40	-0.08	0.24
28	-0.31	-0.18	-0.06	-0.43	-0.26	-0.09	-0.50	-0.24	0.02	-0.44	-0.09	0.25	-0.39	-0.03	0.32
30	-0.34	-0.20	-0.07	-0.48	-0.30	-0.13	-0.56	-0.27	0.01	-0.45	-0.10	0.26	-0.41	0.01	0.42
32	-0.37	-0.23	-0.09	-0.54	-0.35	-0.17	-0.61	-0.31	0.00	-0.49	-0.11	0.27	-0.48	0.04	0.56
34	-0.41	-0.26	-0.11	-0.60	-0.39	-0.19	-0.67	-0.33	0.00	-0.55	-0.12	0.30	-0.57	0.09	0.75
36	-0.44	-0.29	-0.13	-0.65	-0.42	-0.19	-0.73	-0.36	0.02	-0.65	-0.15	0.36	-0.68	0.16	1.00
38	-0.48	-0.32	-0.16	-0.71	-0.44	-0.18	-0.79	-0.37	0.05	-0.78	-0.17	0.44	-0.78	0.27	1.32
40	-0.53	-0.36	-0.18	-0.75	-0.46	-0.17	-0.85	-0.37	0.10	-0.86	-0.16	0.55	-0.78	0.46	1.71
42	-0.57	-0.36	-0.16	-0.76	-0.44	-0.12	-0.87	-0.33	0.20	-0.82	-0.05	0.73	-0.61	0.78	2.18
44	-0.59	-0.35	-0.10	-0.73	-0.37	-0.01	-0.80	-0.19	0.42	-0.59	0.25	1.09	-0.15	1.31	2.76
46	-0.58	-0.29	0.00	-0.65	-0.23	0.19	-0.59	0.13	0.85	-0.15	0.82	1.78	0.65	2.04	3.42
48	-0.52	-0.18	0.15	-0.49	0.01	0.52	-0.19	0.67	1.54	0.53	1.66	2.80	1.57	2.87	4.18
50	-0.39	-0.02	0.36	-0.24	0.38	1.00	0.42	1.42	2.43	1.43	2.67	3.90	2.18	3.55	4.93
52	-0.18	0.24	0.66	0.15	0.88	1.61	1.19	2.26	3.32	2.26	3.44	4.61	2.02	3.61	5.19
54	0.11	0.53	0.95	0.64	1.40	2.15	1.79	2.80	3.81	2.10	3.31	4.53	0.96	2.70	4.44
56	0.31	0.73	1.16	0.98	1.67	2.35	1.49	2.49	3.49	0.71	2.06	3.40	-0.14	1.29	2.73
58	0.37	0.81	1.24	0.77	1.44	2.11	0.35	1.34	2.32	-0.30	0.65	1.60	-0.47	0.33	1.13
60	0.28	0.72	1.15	0.16	0.81	1.46	-0.27	0.32	0.91	-0.41	0.04	0.49	-0.23	0.02	0.28
62	0.11	0.50	0.90	-0.19	0.27	0.72	-0.21	-0.02	0.18	-0.21	0.00	0.21	-0.07	0.05	0.16
64	-0.01	0.28	0.58	-0.17	0.04	0.25	-0.11	0.00	0.11	-0.04	0.06	0.17	0.01	0.09	0.17
66	-0.05	0.13	0.30	-0.07	0.01	0.09	-0.02	0.04	0.10	0.02	0.07	0.13	0.04	0.10	0.16
68	-0.06	0.06	0.17	-0.01	0.02	0.06	0.01	0.04	0.08	0.02	0.06	0.10	0.04	0.09	0.14
70	-0.04	0.04	0.12	0.00	0.03	0.05	0.01	0.03	0.06	0.01	0.04	0.08	0.03	0.07	0.11
72	-0.03	0.03	0.08	0.00	0.02	0.04	0.01	0.03	0.04	0.01	0.03	0.06	0.02	0.05	0.09
74	-0.02	0.02	0.06	0.01	0.02	0.03	0.01	0.02	0.03	0.01	0.03	0.04	0.02	0.04	0.07
76	-0.01	0.01	0.04	0.00	0.01	0.02	0.01	0.02	0.03	0.01	0.02	0.03	0.01	0.03	0.05
78	0.00	0.01	0.02	0.00	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.03	0.01	0.02	0.04
